Publisher Code,Journal Title,Print ISSN,Electronic ISSN,Publisher,Url,Total Number of articles,First Year in the Licence,First Volume in the Licence,Last Year in the Licence,Last Volume in the Licence
brimed,British Medical Bulletin,0007-1420,1471-8391,Oxford University Press,http://brimed.oxfordjournals.org,1059,1996,52,2015,116
cameco,Cambridge Journal of Economics,0309-166X,1464-3545,Oxford University Press,http://cameco.oxfordjournals.org,1158,1996,20,2015,39
camquj,The Cambridge Quarterly,0008-199X,1471-6836,Oxford University Press,http://camquj.oxfordjournals.org,721,1997,30,2015,44
carcin,Carcinogenesis,0143-3334,1460-2180,Oxford University Press,http://carcin.oxfordjournals.org,6516,1996,17,2015,36
cardiovascres,Cardiovascular Research,0008-6363,1755-3245,Elsevier Science,http://cardiovascres.oxfordjournals.org,7782,1996,31,2015,108
cb,Christian Bioethics,1380-3603,1744-4195,Oxford University Press,http://cb.oxfordjournals.org,508,1996,2,2015,21
cdj,Community Development Journal,0010-3802,1468-2656,Oxford University Press,http://cdj.oxfordjournals.org,1188,1996,31,2015,50
cercor,Cerebral Cortex,1047-3211,1460-2199,Oxford University Press,http://cercor.oxfordjournals.org,4272,1996,6,2015,25
chemse,Chemical Senses,0379-864X,1464-3553,Oxford University Press,http://chemse.oxfordjournals.org,2031,1996,21,2015,40
chromsci,Journal of Chromatographic Science,0021-9665,1945-239X,Oxford University Press,http://chromsci.oxfordjournals.org,2600,1996,34,2015,53
cid,Clinical Infectious Diseases,1058-4838,1537-6591,The University of Chicago Press,http://cid.oxfordjournals.org,18569,1996,22,2015,61
clp,Current Legal Problems,0070-1998,2044-8422,Oxford University Press,http://clp.oxfordjournals.org,349,1997,50,2015,68
combul,ITNOW,1746-5702,1746-5710,Oxford University Press,http://combul.oxfordjournals.org,2442,1996,38,2015,57
computer_journal,The Computer Journal,0010-4620,1460-2067,Oxford University Press,http://computer_journal.oxfordjournals.org,1852,1997,40,2015,58
conpec,Contributions to Political Economy,0277-5921,1464-3588,Oxford University Press,http://conpec.oxfordjournals.org,152,1997,16,2015,34
crimin,British Journal of Criminology,0007-0955,1464-3529,Oxford University Press,http://crimin.oxfordjournals.org,1520,1997,37,2015,55
cs,Children & Schools,1532-8759,1545-682X,Oxford University Press,http://cs.oxfordjournals.org,613,1996,18,2015,37
design,Journal of Design History,0952-4649,1741-7279,Oxford University Press,http://design.oxfordjournals.org,964,1997,10,2015,28
dh,Diplomatic History,0145-2096,1467-7709,Blackwell Publishing Ltd,http://dh.oxfordjournals.org,1997,1977,1,2015,39
dsh,Digital Scholarship in the Humanities,2055-7671,2055-768X,Oxford University Press,http://dsh.oxfordjournals.org,64,2015,30,2015,30
earlyj,Early Music,0306-1078,1741-7260,Oxford University Press,http://earlyj.oxfordjournals.org,2509,1996,32,2015,43
economicpolicy,Economic Policy,0266-4658,1468-0327,Oxford University Press,http://economicpolicy.oxfordjournals.org,32,2003,18,2015,30
ecopol,Oxford Review of Economic Policy,0266-903X,1460-2121,Oxford University Press,http://ecopol.oxfordjournals.org,675,1996,12,2015,31
ee,Environmental Entomology,0046-225X,1938-2936,Oxford University Press,http://ee.oxfordjournals.org,3384,1996,25,2015,44
ejcts,European Journal of Cardio-Thoracic Surgery,1010-7940,1873-734X,Elsevier Science B.V.,http://ejcts.oxfordjournals.org,9994,1996,10,2015,48
eltj,ELT Journal,0951-0893,1477-4526,Oxford University Press,http://eltj.oxfordjournals.org,1443,1996,50,2015,69
enghis,The English Historical Review,0013-8266,1477-4534,Oxford University Press,http://enghis.oxfordjournals.org,9444,1997,113,2015,130
english,English,0013-8215,1756-1124,The English Association,http://english.oxfordjournals.org,824,1997,46,2015,64
envlaw,Journal of Environmental Law,0952-8873,1464-374X,Oxford University Press,http://envlaw.oxfordjournals.org,710,1997,9,2015,27
eortho,The European Journal of Orthodontics,0141-5387,1460-2210,Oxford University Press,http://eortho.oxfordjournals.org,2171,1996,18,2015,37
epirev,Epidemiologic Reviews,0193-936X,1478-6729,Oxford University Press,http://epirev.oxfordjournals.org,361,1997,19,2015,37
erae,European Review of Agricultural Economics,0165-1587,1464-3618,Oxford University Press,http://erae.oxfordjournals.org,787,1997,24,2015,42
escrit,Essays in Criticism,0014-0856,1471-6852,Oxford University Press,http://escrit.oxfordjournals.org,586,1996,50,2015,65
eurheartj,European Heart Journal,0195-668X,1522-9645,Oxford University Press,http://eurheartj.oxfordjournals.org,9127,1996,17,2015,36
eurpub,The European Journal of Public Health,1101-1262,1464-360X,Oxford University Press,http://eurpub.oxfordjournals.org,4781,1996,6,2015,25
eursoj,European Sociological Review,0266-7215,1468-2672,Oxford University Press,http://eursoj.oxfordjournals.org,1035,1996,12,2015,31
exbotj,Journal of Experimental Botany,0022-0957,1460-2431,Oxford University Press,http://exbotj.oxfordjournals.org,6925,1996,47,2015,66
famprj,Family Practice,0263-2136,1460-2229,Oxford University Press,http://famprj.oxfordjournals.org,2624,1997,14,2015,32
femsec,FEMS Microbiology Ecology,,1574-6941,Blackwell Publishing Ltd,http://femsec.oxfordjournals.org,3149,1996,19,2015,91
femsle,FEMS Microbiology Letters,0378-1097,1574-6968,Blackwell Publishing Ltd,http://femsle.oxfordjournals.org,8910,1996,135,2015,362
femspd,Pathogens and Disease,2049-632X,,Blackwell Publishing Ltd,http://femspd.oxfordjournals.org,136,2014,70,2015,73
femsre,FEMS Microbiology Reviews,,1574-6976,Blackwell Publishing Ltd,http://femsre.oxfordjournals.org,682,1996,18,2015,39
foresj,Forestry,0015-752X,1464-3626,Oxford University Press,http://foresj.oxfordjournals.org,976,1940,14,2015,88
formod,Forum for Modern Language Studies,0015-8518,1471-6860,Oxford University Press,http://formod.oxfordjournals.org,2306,1996,37,2015,51
frebul,French Studies Bulletin,0262-2750,1748-9180,Oxford University Press,http://frebul.oxfordjournals.org,746,1997,18,2015,36
french,French History,0269-1191,1477-4542,Oxford University Press,http://french.oxfordjournals.org,1533,1996,10,2015,29
frestu,French Studies,0016-1128,1468-2931,Oxford University Press,http://frestu.oxfordjournals.org,6017,1996,56,2015,69
gerona,The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,1079-5006,1758-535X,Oxford University Press,http://gerona.oxfordjournals.org,4229,1996,51,2015,70
geronb,The Journals of Gerontology Series B: Psychological Sciences and Social Sciences,1079-5014,1758-5368,Oxford University Press,http://geronb.oxfordjournals.org,2162,1996,51,2015,70
geront,The Gerontologist,0016-9013,1758-5341,Oxford University Press,http://geront.oxfordjournals.org,2745,1996,36,2015,55
gh,German History,0266-3554,1477-089X,Oxford University Press,http://gh.oxfordjournals.org,2369,1996,14,2015,33
gji,Geophysical Journal International,0956-540X,1365-246X,Blackwell Publishing Ltd,http://gji.oxfordjournals.org,7361,1996,124,2015,203
glycob,Glycobiology,0959-6658,1460-2423,Oxford University Press,http://glycob.oxfordjournals.org,3072,1996,6,2015,25
healed,Health Education Research,0268-1153,1465-3648,Oxford University Press,http://healed.oxfordjournals.org,1804,1996,11,2015,30
heapol,Health Policy and Planning,0268-1080,1460-2237,Oxford University Press,http://heapol.oxfordjournals.org,1398,1996,11,2015,30
heapro,Health Promotion International,0957-4824,1460-2245,Oxford University Press,http://heapro.oxfordjournals.org,1104,1996,11,2015,30
hiscol,Journal of the History of Collections,0954-6650,1477-8564,Oxford University Press,http://hiscol.oxfordjournals.org,663,1997,9,2015,27
hiwork,History Workshop Journal,1363-3554,1477-4569,Oxford University Press,http://hiwork.oxfordjournals.org,994,1997,,2015,
hmg,Human Molecular Genetics,0964-6906,1460-2083,Oxford University Press,http://hmg.oxfordjournals.org,8567,1996,5,2015,24
holgen,Holocaust and Genocide Studies,8756-6583,1476-7937,Oxford University Press,http://holgen.oxfordjournals.org,1227,1997,11,2015,29
hsw,Health & Social Work,0360-7283,1545-6854,Oxford University Press,http://hsw.oxfordjournals.org,870,1996,21,2015,40
humrep,Human Reproduction,0268-1161,1460-2350,Oxford University Press,http://humrep.oxfordjournals.org,9630,1996,11,2015,30
humupd,Human Reproduction Update,1355-4786,1460-2369,Oxford University Press,http://humupd.oxfordjournals.org,1225,1996,2,2015,21
icb,Integrative and Comparative Biology,1540-7063,1557-7023,Oxford University Press,http://icb.oxfordjournals.org,2220,1996,36,2015,55
icesjms,ICES Journal of Marine Science,1054-3139,1095-9289,Oxford University Press,http://icesjms.oxfordjournals.org,3611,1996,53,2015,72
icsidreview,ICSID Review,0258-3690,2049-1999,Oxford University Press,http://icsidreview.oxfordjournals.org,575,1997,12,2015,30
igpl,Logic Journal of IGPL,1367-0751,1368-9894,Oxford University Press,http://igpl.oxfordjournals.org,925,1996,4,2015,23
ije,International Journal of Epidemiology,0300-5771,1464-3685,Oxford University Press,http://ije.oxfordjournals.org,5373,1996,25,2015,44
imaman,IMA Journal of Management Mathematics,1471-678X,1471-6798,Oxford University Press,http://imaman.oxfordjournals.org,508,1996,7,2015,26
imamat,IMA Journal of Applied Mathematics,0272-4960,1464-3634,Oxford University Press,http://imamat.oxfordjournals.org,895,1996,56,2015,80
imamci,IMA Journal of Mathematical Control and Information,0265-0754,1471-6887,Oxford University Press,http://imamci.oxfordjournals.org,620,1996,13,2015,32
imammb,Mathematical Medicine and Biology: A Journal of the IMA,1477-8599,1477-8602,Oxford University Press,http://imammb.oxfordjournals.org,445,1996,13,2015,32
imanum,IMA Journal of Numerical Analysis,0272-4979,1464-3642,Oxford University Press,http://imanum.oxfordjournals.org,899,1996,16,2015,35
imrn,International Mathematics Research Notices,1073-7928,1687-0247,Oxford University Press,http://imrn.oxfordjournals.org,3154,1997,,2015,
indcor,Industrial and Corporate Change,0960-6491,1464-3650,Oxford University Press,http://indcor.oxfordjournals.org,862,1997,6,2015,24
indlaw,Industrial Law Journal,0305-9332,1464-3669,Oxford University Press,http://indlaw.oxfordjournals.org,700,1996,25,2015,44
intimm,International Immunology,0953-8178,1460-2377,Oxford University Press,http://intimm.oxfordjournals.org,3084,1996,8,2015,27
intpor,International Journal of Public Opinion Research,0954-2892,1471-6909,Oxford University Press,http://intpor.oxfordjournals.org,882,1997,9,2015,27
intqhc,International Journal for Quality in Health Care,1353-4505,1464-3677,Oxford University Press,http://intqhc.oxfordjournals.org,1594,1997,9,2015,27
inttec,International Journal of Law and Information Technology,0967-0769,1464-3693,Oxford University Press,http://inttec.oxfordjournals.org,313,1997,5,2015,23
islamj,Journal of Islamic Studies,0955-2340,1471-6917,Oxford University Press,http://islamj.oxfordjournals.org,1627,1996,7,2015,26
isle,Interdisciplinary Studies in Literature and Environment,1076-0962,1759-1090,University of Nevada Press,http://isle.oxfordjournals.org,2286,1997,4,2015,22
iwc,Interacting with Computers,0953-5438,1873-7951,Oxford University Press,http://iwc.oxfordjournals.org,973,1996,8,2015,27
jaarel,Journal of the American Academy of Religion,0002-7189,1477-4585,Oxford University Press,http://jaarel.oxfordjournals.org,2152,1997,65,2015,83
jac,Journal of Antimicrobial Chemotherapy,0305-7453,1460-2091,Oxford University Press,http://jac.oxfordjournals.org,9487,1996,37,2015,70
jafeco,Journal of African Economies,0963-8024,1464-3723,Oxford University Press,http://jafeco.oxfordjournals.org,688,1996,5,2015,24
jahist,The Journal of American History,0021-8723,1945-2314,Organization of American Historians,http://jahist.oxfordjournals.org,13683,1996,83,2015,102
jalsci,Journal of the History of Medicine and Allied Sciences,0022-5045,1468-4373,Oxford University Press,http://jalsci.oxfordjournals.org,1378,1996,51,2015,70
jamia,Journal of the American Medical Informatics Association,1067-5027,1527-974X,BMJ Group,http://jamia.oxfordjournals.org,2319,1996,3,2015,22
japr,Journal of Applied Poultry Research,1056-6171,1537-0437,Oxford University Press,http://japr.oxfordjournals.org,1483,1997,6,2015,24
jat,Journal of Analytical Toxicology,0146-4760,1945-2403,Oxford University Press,http://jat.oxfordjournals.org,2297,1996,20,2015,39
jbchem,The Journal of Biochemistry,0021-924X,-,Oxford University Press,http://jbchem.oxfordjournals.org,4213,1996,119,2015,158
jcs,Journal of Church and State,0021-969X,2040-4867,Oxford University Press,http://jcs.oxfordjournals.org,2571,1997,39,2015,57
jee,Journal of Economic Entomology,0022-0493,1938-291X,Oxford University Press,http://jee.oxfordjournals.org,2052,1996,89,2015,108
jhered,Journal of Heredity,0022-1503,1465-7333,Oxford University Press,http://jhered.oxfordjournals.org,2281,1996,87,2015,106
jid,The Journal of Infectious Diseases,0022-1899,1537-6613,The University of Chicago Press,http://jid.oxfordjournals.org,13311,1996,173,2015,212
jjco,Japanese Journal of Clinical Oncology,0368-2811,1465-3621,Oxford University Press,http://jjco.oxfordjournals.org,3391,1996,26,2015,45
jleorg,"The Journal of Law, Economics, & Organization",8756-6222,1465-7341,Oxford University Press,http://jleorg.oxfordjournals.org,526,1996,12,2015,31
jlms,Journal of the London Mathematical Society,0024-6107,1469-7750,Oxford University Press,http://jlms.oxfordjournals.org,1980,1996,53,2015,92
jmammal,Journal of Mammalogy,0022-2372,1545-1542,American Society of Mammalogists,http://jmammal.oxfordjournals.org,2947,1996,77,2015,96
jme,Journal of Medical Entomology,0022-2585,1938-2928,Oxford University Press,http://jme.oxfordjournals.org,3108,1996,33,2015,52
jmicro,Microscopy,0022-0744,1477-9986,Oxford University Press,http://jmicro.oxfordjournals.org,1640,1996,45,2015,64
jmp,The Journal of Medicine and Philosophy,0360-5310,1744-5019,Oxford University Press,http://jmp.oxfordjournals.org,991,1996,21,2015,40
jmt,Journal of Music Therapy,0022-2917,2053-7395,American Music Therapy Association,http://jmt.oxfordjournals.org,426,1997,34,2015,52
jnci,Journal of the National Cancer Institute,0027-8874,1460-2105,Oxford University Press,http://jnci.oxfordjournals.org,10957,1996,88,2015,107
jopart,Journal of Public Administration Research and Theory,1053-1858,1477-9803,Oxford University Press,http://jopart.oxfordjournals.org,948,1996,6,2015,25
jpepsy,Journal of Pediatric Psychology,0146-8693,1465-735X,Oxford University Press,http://jpepsy.oxfordjournals.org,2086,1996,21,2015,40
jsh,Journal of Social History,0022-4529,1527-1897,Oxford University Press,http://jsh.oxfordjournals.org,2884,1996,30,2015,49
lawfam,"International Journal of Law, Policy and the Family",1360-9939,1464-3707,Oxford University Press,http://lawfam.oxfordjournals.org,393,1996,10,2015,29
lbaeck,The Leo Baeck Institute Yearbook,0075-8744,1758-437X,The Leo Baeck Institute,http://lbaeck.oxfordjournals.org,628,1996,41,2015,60
lexico,International Journal of Lexicography,0950-3846,1477-4577,Oxford University Press,http://lexico.oxfordjournals.org,842,1996,9,2015,28
libraj,The Library,0024-2160,1744-8581,Oxford University Press,http://libraj.oxfordjournals.org,1437,1996,1,2015,21
litthe,Literature and Theology,0269-1205,1477-4623,Oxford University Press,http://litthe.oxfordjournals.org,1054,1996,10,2015,29
logcom,Journal of Logic and Computation,0955-792X,1465-363X,Oxford University Press,http://logcom.oxfordjournals.org,1162,1996,6,2015,25
maghis,OAH Magazine of History,0882-228X,1938-2340,Organization of American Historians,http://maghis.oxfordjournals.org,1014,1996,11,2013,27
medlaw,Medical Law Review,0967-0742,1464-3790,Oxford University Press,http://medlaw.oxfordjournals.org,567,1997,5,2015,23
melus,MELUS,0163-755X,1946-3170,The Society for the Study of the Multi-Ethnic Literature of the United States,http://melus.oxfordjournals.org,1364,1996,21,2015,40
mind,Mind,0026-4423,1460-2113,Oxford University Press,http://mind.oxfordjournals.org,2100,1996,105,2015,124
mmy,Medical Mycology,1369-3786,1460-2709,Informa UK Ltd,http://mmy.oxfordjournals.org,1927,1998,36,2015,53
mnras,Monthly Notices of the Royal Astronomical Society,0035-8711,1365-2966,Blackwell Publishing Ltd,http://mnras.oxfordjournals.org,29507,1996,278,2015,453
modjud,Modern Judaism,0276-1114,1086-3273,Oxford University Press,http://modjud.oxfordjournals.org,530,1996,16,2015,35
molehr,Molecular Human Reproduction,1360-9947,1460-2407,Oxford University Press,http://molehr.oxfordjournals.org,2377,1996,2,2015,21
mollus,Journal of Molluscan Studies,0260-1230,1464-3766,Oxford University Press,http://mollus.oxfordjournals.org,1050,1996,62,2015,81
monist,The Monist,0026-9662,2153-3601,Oxford University Press,http://monist.oxfordjournals.org,715,1996,79,2015,98
mtp,Music Therapy Perspectives,0734-6875,2053-7387,American Music Therapy Association,http://mtp.oxfordjournals.org,452,1997,15,2015,33
mts,Music Theory Spectrum,0195-6167,1533-8339,University of California Press,http://mts.oxfordjournals.org,409,1997,19,2015,37
musicj,Music and Letters,0027-4224,1477-4631,Oxford University Press,http://musicj.oxfordjournals.org,2701,1996,77,2015,96
musqtl,The Musical Quarterly,0027-4631,1741-8399,Oxford University Press,http://musqtl.oxfordjournals.org,470,1997,81,2015,98
mutage,Mutagenesis,0267-8357,1464-3804,Oxford University Press,http://mutage.oxfordjournals.org,1566,1996,11,2015,30
nar,Nucleic Acids Research,0305-1048,1362-4962,Oxford University Press,http://nar.oxfordjournals.org,20436,1996,24,2015,93
ndt,Nephrology Dialysis Transplantation,0931-0509,1460-2385,Oxford University Press,http://ndt.oxfordjournals.org,14977,1996,11,2015,30
notesj,Notes and Queries,0029-3970,1471-6941,Oxford University Press,http://notesj.oxfordjournals.org,685,2012,59,2015,62
nutritionreviews,Nutrition Reviews,0029-6643,1753-4887,Oxford University Press,http://nutritionreviews.oxfordjournals.org,2159,1996,54,2015,73
occmed,Occupational Medicine,0962-7480,1471-8405,Oxford University Press,http://occmed.oxfordjournals.org,3229,1996,46,2015,65
oep,Oxford Economic Papers,0030-7653,1464-3812,Oxford University Press,http://oep.oxfordjournals.org,816,1996,48,2015,67
ohr,The Oral History Review,0094-0798,1533-8592,Oxford University Press,http://ohr.oxfordjournals.org,1122,1997,24,2015,42
operaq,The Opera Quarterly,0736-0053,1476-2870,Oxford University Press,http://operaq.oxfordjournals.org,1598,1996,13,2015,31
oxartj,Oxford Art Journal,0142-6540,1741-7287,Oxford University Press,http://oxartj.oxfordjournals.org,664,1997,20,2015,38
oxjlsj,Oxford Journal of Legal Studies,0143-6503,1464-3820,Oxford University Press,http://oxjlsj.oxfordjournals.org,642,1997,17,2015,35
parlij,Parliamentary Affairs,0031-2290,1460-2482,Oxford University Press,http://parlij.oxfordjournals.org,1166,1996,49,2015,68
past,Past & Present,0031-2746,1477-464X,Oxford University Press,http://past.oxfordjournals.org,732,1996,150,2015,229
pcp,Plant and Cell Physiology,0032-0781,1471-9053,Oxford University Press,http://pcp.oxfordjournals.org,3445,1996,37,2015,56
petroj,Journal of Petrology,0022-3530,1460-2415,Oxford University Press,http://petroj.oxfordjournals.org,1845,1996,37,2015,56
philmat,Philosophia Mathematica,0031-8019,1744-6406,Oxford University Press,http://philmat.oxfordjournals.org,673,1996,4,2015,23
phisci,The British Journal for the Philosophy of Science,0007-0882,1464-3537,Oxford University Press,http://phisci.oxfordjournals.org,961,1996,47,2015,66
plankt,Journal of Plankton Research,0142-7873,1464-3774,Oxford University Press,http://plankt.oxfordjournals.org,2579,1996,18,2015,37
plms,Proceedings of the London Mathematical Society,0024-6115,1460-244X,Oxford University Press,http://plms.oxfordjournals.org,1138,1996,3,2015,111
polana,Political Analysis,1047-1987,1476-4989,Oxford University Press,http://polana.oxfordjournals.org,557,1998,7,2015,23
poq,Public Opinion Quarterly,0033-362X,1537-5331,Oxford University Press,http://poq.oxfordjournals.org,1176,1997,61,2015,79
pq,The Philosophical Quarterly,0031-8094,1467-9213,Blackwell Publishers Ltd,http://pq.oxfordjournals.org,1288,1996,46,2015,65
proeng,Protein Engineering,1741-0126,1741-0134,Oxford University Press,http://proeng.oxfordjournals.org,2083,1996,9,2015,28
ps,Poultry Science,0032-5791,1525-3171,Oxford University Press,http://ps.oxfordjournals.org,6462,1996,75,2015,94
pubjof,Publius: The Journal of Federalism,0048-5950,1747-7107,Oxford University Press,http://pubjof.oxfordjournals.org,905,1997,27,2015,45
pubmed,Journal of Public Health,1741-3842,1741-3850,Oxford University Press,http://pubmed.oxfordjournals.org,2039,1996,18,2015,37
qje,The Quarterly Journal of Economics,0033-5533,1531-4650,MIT Press,http://qje.oxfordjournals.org,884,1996,111,2015,130
qjmamj,The Quarterly Journal of Mechanics and Applied Mathematics,0033-5614,1464-3855,Oxford University Press,http://qjmamj.oxfordjournals.org,596,1996,49,2015,68
qjmedj,QJM: An International Journal of Medicine,1460-2725,1460-2393,Oxford University Press,http://qjmedj.oxfordjournals.org,3190,1996,89,2015,108
qmathj,The Quarterly Journal of Mathematics,0033-5606,1464-3847,Oxford University Press,http://qmathj.oxfordjournals.org,812,1996,47,2015,66
raps,Review of Asset Pricing Studies,2045-9920,2045-9939,Oxford University Press,http://raps.oxfordjournals.org,61,2011,1,2015,5
rcfs,The Review of Corporate Finance Studies,2046-9128,2046-9136,Oxford University Press,http://rcfs.oxfordjournals.org,38,2012,1,2015,4
reflaw,International Journal of Refugee Law,0953-8186,1464-3715,Oxford University Press,http://reflaw.oxfordjournals.org,968,1996,8,2015,27
refqtl,Refugee Survey Quarterly,1020-4067,1471-695X,Oxford University Press,http://refqtl.oxfordjournals.org,1378,1997,16,2015,34
refuge,Journal of Refugee Studies,0951-6328,1471-6925,Oxford University Press,http://refuge.oxfordjournals.org,1024,1996,9,2015,28
restud,The Review of Economic Studies,0034-6527,1467-937X,Wiley-Blackwell,http://restud.oxfordjournals.org,904,1996,63,2015,82
rev,Research Evaluation,0958-2029,1471-5449,Beech Tree Publishing,http://rev.oxfordjournals.org,508,1996,6,2015,24
revesj,The Review of English Studies,0034-6551,1471-6968,Oxford University Press,http://revesj.oxfordjournals.org,3081,1996,49,2015,66
rpd,Radiation Protection Dosimetry,0144-8420,1742-3406,Oxford University Press,http://rpd.oxfordjournals.org,7756,1996,63,2015,167
screen,Screen,0036-9546,1460-2474,Oxford University Press,http://screen.oxfordjournals.org,1024,1997,38,2015,56
semant,Journal of Semantics,0167-5133,1477-4593,Oxford University Press,http://semant.oxfordjournals.org,263,1996,13,2015,32
semitj,Journal of Semitic Studies,0022-4480,1477-8556,Oxford University Press,http://semitj.oxfordjournals.org,1445,1997,47,2014,59
sf,Social Forces,0037-7732,1534-7605,The University of North Carolina Press,http://sf.oxfordjournals.org,2551,1995,74,2015,93
sochis,Social History of Medicine,0951-631X,1477-4666,Oxford University Press,http://sochis.oxfordjournals.org,1965,1996,9,2015,28
social,British Journal of Social Work,0045-3102,1468-263X,Oxford University Press,http://social.oxfordjournals.org,2973,1996,26,2015,45
socpol,"Social Politics: International Studies in Gender, State & Society",1072-4745,1468-2893,Oxford University Press,http://socpol.oxfordjournals.org,419,1997,4,2015,22
socpro,Social Problems,0037-7791,1533-8533,Oxford University Press,http://socpro.oxfordjournals.org,519,1996,43,2015,62
socrel,Sociology of Religion,1069-4404,1759-8818,Oxford University Press,http://socrel.oxfordjournals.org,1193,1997,58,2015,76
spp,Science and Public Policy,0302-3427,1471-5430,Beech Tree Publishing,http://spp.oxfordjournals.org,1511,1996,23,2015,42
stalaw,Statute Law Review,0144-3593,1464-3863,Oxford University Press,http://stalaw.oxfordjournals.org,425,1997,18,2015,36
sw,Social Work,0037-8046,1545-6846,Oxford University Press,http://sw.oxfordjournals.org,1251,1996,41,2015,60
swr,Social Work Research,1070-5309,1545-6838,Oxford University Press,http://swr.oxfordjournals.org,568,1996,20,2015,39
sysbio,Systematic Biology,1063-5157,1076-836X,Oxford University Press,http://sysbio.oxfordjournals.org,1560,1996,45,2015,64
tandt,Trusts & Trustees,1752-2110,1363-1780,Oxford University Press,http://tandt.oxfordjournals.org,2986,1995,2,2015,21
theolj,The Journal of Theological Studies,0022-5185,1477-4607,Oxford University Press,http://theolj.oxfordjournals.org,4351,1996,47,2015,66
toxsci,Toxicological Sciences,1096-6080,1096-0929,Oxford University Press,http://toxsci.oxfordjournals.org,5356,1996,29,2015,148
tropej,Journal of Tropical Pediatrics,0142-6338,1465-3664,Oxford University Press,http://tropej.oxfordjournals.org,2123,1996,42,2015,61
trstmh,Transactions of The Royal Society of Tropical Medicine and Hygiene,0035-9203,1878-3503,Royal Society of Tropical Medicine and Hygiene,http://trstmh.oxfordjournals.org,4611,1996,90,2015,109
tweceb,Twentieth Century British History,0955-2359,1477-4674,Oxford University Press,http://tweceb.oxfordjournals.org,822,1997,8,2015,26
